,RANK,POENG,Resultat,Lagnavn:,Antall på lag (SKRIV KUN TALL):,1. (SKRIV MED BLOKKBOKSTAVER),2. (SKRIV MED BLOKKBOKSTAVER),3. (SKRIV DATOEN SÅNN HER: DD.MM.ÅÅÅÅ),4. (SKRIV MED BLOKKBOKSTAVER),5. (SKRIV MED BLOKKBOKSTAVER),6. (SKRIV MED BLOKKBOKSTAVER),7. (SKRIV MED BLOKKBOKSTAVER),8. (SKRIV MED BLOKKBOKSTAVER),9. (SKRIV MED TALL),10. (SKRIV MED BLOKKBOKSTAVER),11. (SKRIV MED TALL),12. (SKRIV MED BLOKKBOKSTAVER),13. (SKRIV MED BLOKKBOKSTAVER),"14. (SKRIV MED BLOKKBOKSTAVER) OG SVAR MED TALL, IKKE BOKSTAVER",15. (SKRIV MED BLOKKBOKSTAVER),16. (SKRIV MED BLOKKBOKSTAVER),17. (SKRIV MED BLOKKBOKSTAVER),18. (SKRIV MED BLOKKBOKSTAVER),19. (SKRIV MED BLOKKBOKSTAVER),20. (SKRIV MED BLOKKBOKSTAVER),21. (SKRIV MED BLOKKBOKSTAVER),22. (SKRIV MED BLOKKBOKSTAVER),23. (SKRIV MED BLOKKBOKSTAVER),"24. (SKRIV MED BLOKKBOKSTAVER) HA ""OG"" MELLOM HVERT PRODUKT. EKSEMPEL: KLUBBE OG SVERD OG PISTOL OG ATOMBOMBE. FRA ELDSTE PRODUKT TIL NYESTE.",25. (SKRIV MED BLOKKBOKSTAVER),26. (SKRIV MED BLOKKBOKSTAVER),27. (SKRIV KUN TALL),28. (SKRIV MED BLOKKBOKSTAVER),29. (SKRIV MED BLOKKBOKSTAVER),30. (SKRIV MED BLOKKBOKSTAVER)
,1,31,31 / 32,quizmaster på samfunnet bislet<3,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,70,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK47,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,1,31,31 / 32,QUIZEFANT,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AUTOMATGEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA ,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,1,31,31 / 32,FAMILIEN LIA,5,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,100,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,KIMALE,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,110,JAPAN,EIFFELTÅRNET,9,TENNESSEE,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,Gutta Boys,5,INDIANA JONES,HESTEFOBI,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,105,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,#denkunnskapen,5,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,50,JAPAN,EIFFELTÅRNET,11,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,3,29,29 / 32,team Leo,4,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,116,JAPAN,EIFELTÅRNET,9,TENNESSEE,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRETENSIØS,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,3,29,29 / 32,Hvilakara og Wenche,4,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHERMA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,THAILAND,TORSDAG,PALTROW,LYSHASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,4,28,28 / 32,Svararna,2,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,104,JAPAN,EIFFELTÅRNET,9,Rebus film,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,H,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Sons Store Sønner <3 ,2,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG OG IPOD,DIVA,DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,4,28,28 / 32,M&M,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,85,JAPAN,KOREA,EIFFELTÅRNET,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Loners i Dumpa,4,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,87,JAPAN,EIFFELTÅRNET,8,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,DISNEY,96,THE EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,KOKFISK,7,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,INDONESIA,1970,KLOSE,110,INDIA,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,4,28,28 / 32,INNELUKKA QUIZKLIMA,3,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,85,JAPAN,EIFFELTÅRNET,NI,TOOTH FAIRY,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,IRAK,TORSDAG,GWYNETH PALTROW,LYSHASTIGHET,D OG C OG B OG A,PRIMADONNA,DISNEY,1923,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Gausel Turn og Hoppetau,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,85,JAPAN,EIFFELTÅRNET,12,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,GWYENTH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2 ,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Fulle kaniner,4,INDIANA JONES ,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,100,ENGLAND,EIFFELTÅRNET,9,TITANIC,TENNESSEE,ERHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),SKYTEVÅPEN,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,THE EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Better Pelsvik,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,5%,PILOTFRUE,NORGE,1970,KLOSE,110,JAPAN,EIFFELTÅRNET,9,SÅ ALDRI REBUSEN- GOD DAMMIT,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG PLAYSTATION 2 OG IPOD,PRIMADONNA,DISNEY,97,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,4,28,28 / 32,Amputert NederLAGET,2,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,106,INDIA,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,95,ONE WORLD TRADE CENTER,KATT,KJÆRLIGHET
,5,27,27 / 32,Quizantene,4,INDIANA JONES,HEST,01.09.1939,MAINE',PSYDUCK,10%,PILOTFRUE,NORGE,1970,MIROSLAV KOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMA DONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,5,27,27 / 32,Bertys babes,2,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,100,KINA,EIFFELTÅRNET,9,TEETH,KENTUCKY,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,SASSY,DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,5,27,27 / 32,Bergenserne,2,INDIANA,HESTER,1. SEPTEMBER,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,107,SØR-KOREA,EIFFELTÅRNET,9,REMEMBER THE TITANS,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PS2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,5,27,27 / 32,Bartesens utvalgte,6,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,KLOSE,70,SØR KOREA,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD ,PRIMADONNA,WALT DISNEY,1923,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,6,26,26 / 32,"You're a quizard, Harry",5,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,KLOSE,300,SØR-KOREA,EIFFELTÅRNET,8,TENNESSEE,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AUTOMATGEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG PLAYSTATION 2 OG FURBY OG IPOD,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,6,26,26 / 32,Verdalingan,3,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,KLOSE,65,JAPAN,EIFFELTÅRNET,9,TEN TOUSEN BC,TENNESSEE,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET ,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD  ,EGENMEKTIG ,WALT DISNEY,96,ONE WORDL TRADE CENTER,KATT,KJÆRLIGHET
,6,26,26 / 32,Toppetasjen,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,105,JAPAN,EIFFELTÅRNET ,9,TOOTHFARY,KENTUCKY,EPHEMERA,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),RIFLE,MALAYSIA,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,6,26,26 / 32,Ozonlaget,9,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,KLOSE,100,SØR-KOREA,EIFFELTÅRNET,9,TITANIC,TENNESSEE,M2M,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,MONGOLIA,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PS2 OG IPOD,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,6,26,26 / 32,lagnavn kommer omgående ,5,INDIANA JONES,HEST,01.09.1939,MAINE ,PSYDUCK ,20%,PILOTFRUE,NORGE,1970,KLOSE,60,SØR-KOREA,EIFELTÅRNET,9,TOOTH FAIRY ,MISSOURI,FIRST AID KIT,B) NEPAL OG MALAYSIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG ,PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMA DONNA ,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,6,26,26 / 32,Eilifs Landhandleri,7,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,27,SØR KOREA,EIFFELTÅRNET,7,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,FILLIPINENE,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,6,26,26 / 32,2020_SUGER,4,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,AUSTRALIA,1970,KLOSE,65,SØR-KOREA,EIFELTÅRNET,NI,TITANIC,KENTUCKY ,EPHEMERA ,C) ETHIOPIA OG BELGIA (SAMMENLAGT),VÅPEN,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PS2  OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,wine&dine,4,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,RONALDO,124,INDIA,EIFFELTÅRNET,9,TITANIC,TENNESSEE,DESTINYS CHILD,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,FURBY OG IPOD OG TAMAGOTCHI OG PLAYSTATION 2,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,7,25,25 / 32,tre tullinger,3,INDIANA JONES,HESTER,17.03.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1982,KLOSE,100,SØRKOREA,EIFFELTÅRNET,9,TEETH OF THE SEA,TENNESSEE,EMPHARIA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,ANGELINA JOLIE,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,The Chronic,6,INDIANA,LEGER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,USA,1971,KLOSE,103,KOREA,EIFFELTÅRNET,8,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,ONSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,DISNEY,94,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,7,25,25 / 32,Skoletime,3,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,60,STORBRITANNIA,EIFFELTÅRNET,9,TITANIC,NEW YORK,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),KALASHNIKOV,IRAN,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PS2 OG IPOD,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,GNAGER,KJÆRLIGHET
,7,25,25 / 32,QUIZTOPHERSEN & LEKSIKON-ERIKSEN,3,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,DANMARK,1972,MIROSLAV KLOSE,74,INDIA,EIFFELTÅRNET,6,TITANIC,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A ,PRIMADONNA,WALT DISNEY,95,EMPIRE STATE BUILDING,MÅR,KJÆRLIGHET
,7,25,25 / 32,Quizlinger,4,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1970,KLOSE,112,Sør-Korea,EIFFELTÅRNET,9,CLASH OF THE TITANS,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,DEMI MOORE,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG PLAYSTATION OG IPOD ,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,Mother and daughter,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,RONALDO,85,JAPAN,EIFFELTÅRNET,4,TOOTSIE,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,DEMI MOORE,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,MIXEN,1,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1971,MIROSLAV KLOSE,180,STORBRITANNIA,EIFFELTÅRNET,9,TITANIC,COLORADO,M2M,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION2 OG IPOD,ARROGANT,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,7,25,25 / 32,Cheez Doodles,3,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,RONALDO,100,SØR KOREA,EIFFELTÅRNET,8,TENNESSEE,TENNESSEE,M2M,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,CHARLIE CHAPLIN,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,7,25,25 / 32,BØKK,TRE,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,FEMTI,JAPAN,EIFFELTÅRNET,NI,TITANIC,MISSOURI,EPHERMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),SKYTEVÅPEN,THAILAND,TORSDAG,ANGELINA JOLIE,LYSETS HASTIGHET I VAKUUM,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,7,25,25 / 32,Bortelaget,4,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,NORGE,1970,KLOSE,75,INDIA,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,94,CHRYSLER,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,Bar Polar Dream Team,6,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,KLOSE,122,INDIA,EIFFELTÅRNET,6,TITANIC,KENTUCKY,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK47,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTASTION 2 OG IPOD,PRIMADONNA,WALT DISNEY,94,EMPIRE STATE BUILDING ,KATTEDYR,KJÆRLIGHET
,7,25,25 / 32,B14 - Sandnes,3,INDIANA JONES,HESTER,12.10.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,JUST FONTAINE,19,SØR KOREA,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),KALASHNIKOV,THAILAND,TORSDAG,GWYNETH PALTROW,LYSHASTIGHET,D OG B OG A OG C,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,PUNGDYR,HÅP
,7,25,25 / 32,Astmagryta kavalkade- og ballademakere,7,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,64,JAPAN,EIFFELTÅRNET,6,TITANIC,NEW YORK,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,JULIA ROBERTS,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG IPOD OG PLAYSTATION 2,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,7,25,25 / 32,Astmagryta kavalkade- og ballademakere,7,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,64,JAPAN,EIFFELTÅRNET,6,TITANIC,NEW YORK,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,JULIA ROBERTS,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG IPOD OG PLAYSTATION 2,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEFAMILIEN,KJÆRLIGHET
,7,25,25 / 32,ALL CAPS,8,INDIANA JONES,FLODHEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,RUSSLAND,1970,LEWANDOWSKI,77,INDIA,EIFFELTÅRNET,13,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
