,RANK,POENG,Resultat,Lagnavn:,Antall på lag (SKRIV KUN TALL):,1. (SKRIV MED BLOKKBOKSTAVER),2. (SKRIV MED BLOKKBOKSTAVER),3. (SKRIV DATOEN SÅNN HER: DD.MM.ÅÅÅÅ),4. (SKRIV MED BLOKKBOKSTAVER),5. (SKRIV MED BLOKKBOKSTAVER),6. (SKRIV MED BLOKKBOKSTAVER),7. (SKRIV MED BLOKKBOKSTAVER),8. (SKRIV MED BLOKKBOKSTAVER),9. (SKRIV MED TALL),10. (SKRIV MED BLOKKBOKSTAVER),11. (SKRIV MED TALL),12. (SKRIV MED BLOKKBOKSTAVER),13. (SKRIV MED BLOKKBOKSTAVER),"14. (SKRIV MED BLOKKBOKSTAVER) OG SVAR MED TALL, IKKE BOKSTAVER",15. (SKRIV MED BLOKKBOKSTAVER),16. (SKRIV MED BLOKKBOKSTAVER),17. (SKRIV MED BLOKKBOKSTAVER),18. (SKRIV MED BLOKKBOKSTAVER),19. (SKRIV MED BLOKKBOKSTAVER),20. (SKRIV MED BLOKKBOKSTAVER),21. (SKRIV MED BLOKKBOKSTAVER),22. (SKRIV MED BLOKKBOKSTAVER),23. (SKRIV MED BLOKKBOKSTAVER),"24. (SKRIV MED BLOKKBOKSTAVER) HA ""OG"" MELLOM HVERT PRODUKT. EKSEMPEL: KLUBBE OG SVERD OG PISTOL OG ATOMBOMBE. FRA ELDSTE PRODUKT TIL NYESTE.",25. (SKRIV MED BLOKKBOKSTAVER),26. (SKRIV MED BLOKKBOKSTAVER),27. (SKRIV KUN TALL),28. (SKRIV MED BLOKKBOKSTAVER),29. (SKRIV MED BLOKKBOKSTAVER),30. (SKRIV MED BLOKKBOKSTAVER)
,17,15,15 / 32,Coronquiztadorene,4,INDIANA JONES,HEST,01.09.1939,RHODE ISLAND,PSYDUCK,20%,PILOTFRUE,NORGE,1972,KLOSE,65,SØR KOREA,EIFFELTÅRNET,7,TITANIC,TEXAS,M2M,B) NEPAL OG MALAYSIA (SAMMENLAGT),FUGL,MALAYSIA,TORSDAG,PALTROW,LYSHASTIGHETEN,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,FURIE,HITCHCOCK,98,EMPIRE STATE BUILDING,FUGL,EVIGHET
,17,15,15 / 32,Club penguin,2,INDIANA JONES,FLODHEST,29.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MESSI,81, SØR-KOREA,EIFFELTÅRNET,9,TOOTSIE,MISSOURI,WOLFBAND,B) NEPAL OG MALAYSIA (SAMMENLAGT),KORN,MALAYSIA,TORSDAG,SANDRA BULLOCK,LYSHASTIGHET,FURBY OG TAMAGOTCHI OG PS2 OG IPOD,EGOIST,DISNEY,85,ROCKEFELLER,APE,KJÆRLIGHET
,17,15,15 / 32,Carl & co-vid,3,INDIANA JONES,FLODHESTER,03.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE (BLOGGER),NORGE,1970,KLOSE,250,SØR KOREA,EIFFELTÅRNET,10,TITANIC,UTAH,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,FILIPPINENE,TIRSDAG,PALTHROW,HASTIGHET,TAMAGOTCHI OG FURBY OG PS2 OG IPOD,PRIMADONNA,HITCHCOCK,93,EMPIRE STATE BUILDING,ANTILOPE,KJÆRLIGHET
,17,15,15 / 32,Bobla,1,INDIANA JONES,FLODHEST,01.09.1939,MAINE,DUCKLY,10%,VOE,RUSSLAND ,1970,KLOSE,65,INDIA,EIFFELTÅRNET,8,TITANIC,OHIO,EPHEMERIA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,MYANMAR,TORSDAG,NICOLE KIDMAN,LYSHASTIGHETEN ,TAMAGOTCHI OG PLAYSTATION OG FURBY OG IPOD,NARSISSIST,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,GLEDE
,17,15,15 / 32,Bo Larsens orkester,,INDIANA JONES,HESTER,15.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,USA,1969,MARADONA,180,SØR-KOREA,EIFFELTÅRNET,7,DONT KNOW,PENNSYLVANIA,EPHEMRA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,KUBIKK,TAMAGOTCHI OG PLAYSTATION 2 OG IPOD OG FURBY,PRIMADONNA,VET IKKE,92,EMPIRE STATE BUILDING,PANGOLIN,KJÆRLIGHET
,17,15,15 / 32,Bitches&Hoe’s,2,INDIANA JONES,HEST,19.08.1939,MAINE,VET IKKE,5%,PILOTFRUE,AUSTRALIA,1962,RONALDO,83,JAPAN,EIFFELTÅRNET,TREDVE,TITANIC,TENNESSEE,EPHEMERA,B) NEPAL OG MALAYSIA (SAMMENLAGT),VÅPEN,MONGOLIA,TORSDAG,GWYNETH PALTROW,FRIKSJON,D OG C OG A OG B,PRIMADONNA,WALT DISNEY,94,EMPIRE STATE BUILDING,GNAGER,KJÆRLIGHET
,17,15,15 / 32,Bent Høyball,2,INDIANA JONES,HESTEFOBI,01.09.1939,NEW HAMPSHIRE,PSYDUCK,5%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,7543,JAPAN,EIFFELTÅRNET,9,TITANIC,OKLAHOMA,GIRLS KEEP SECRETS,B) NEPAL OG MALAYSIA (SAMMENLAGT),STORK,BANGLADESH,TORSDAG,ANGELINA JOLIE,CURRENT,C OG D OG B OG A,EGOSENTRISK,WALT DISNEY,94,EMPIRE STATE BUILDING,FUGL,KJÆRLIGHET
,17,15,15 / 32,BARNEBORDET,5,INDIANA,HEST,01.09.1939,NEW ENGLAND,PSYDUCK,10%,PILOTFRUE,RUSSLAND,1970,MIROSLAV KLOSE,500,SØR KOREA,EIFFELTÅRNET,9,TITANIC,KENTUCKY,ABBA,B) NEPAL OG MALAYSIA (SAMMENLAGT),SIGD,IRAN,TORSDAG,NICOLE KIDMAN,LYSETS HASTIGHET,D OG B OG C OG A,VET IKKE,VET IKKE,94,EMPIRE STATE BUILDING,KATT,EVIGHET
,17,15,15 / 32,BALUBA,6,INDIANA JONES,FLODHESTER,01.09.1939,MAINE,PSYDUCK,10%,PILOTFRUE,CHILE,1973,KLOSE,100,SØR-KOREA,EIFFELTÅRNET,12,TITANIC,NEW YORK,EPHEMBRA,B) NEPAL OG MALAYSIA (SAMMENLAGT),AK47,MALAYSIA,TORSDAG,DIAZ,LYSHASTIGHETEN,TAMAGOTCHI OG FURBY OG IPOD OG PLAYSTATION 2,DIVA,HITCHCOCK,97,CHRYSLER BUILDING,KATT,KJÆRLIGHET
,17,15,15 / 32,BADENYMFE,2,INDIANA JONES,FLODHEST,16.04.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,RONALDO,2300,KOREA,EIFELTÅRNET,12,TEETH,TENNESSEE,A1,A) AUSTRALIA OG UKRAINA (SAMMENLAGT),HJUL,VIETNAM,TORSDAG,GWENETH PALTROW,LYSETS HASTIGHET,FURBY OG TAMAGOTCHI OG PLAYSTATION 2 OG IPOD,EGO,WALT DISNEY,96,NR 1 WORLD TRADE CENTER,KLOVDYR,KJÆRLIGHET
